L018DVI_SONV,REA_BTS09:DCV_D0869:ON_RSTS
L018DVI_VAL,REA_BTS09:DCV_D0869:V_RD
L018TAE,REA_BTS10:QE_D0867:V_RD
L018TAE_ILKV,REA_BTS10:QE_D0867:ILK_RSTS
L018TAE_INC,REA_BTS10:QE_D0867:V_CSET_INC
L018TAE_OOV,REA_BTS10:QE_D0867:ON_CMD
L018TAE_RSTV,REA_BTS10:QE_D0867:RST_CMD
L018TAE_SETRB,REA_BTS10:QE_D0867:V_RSET
L018TAE_SETV,REA_BTS10:QE_D0867:V_CSET
L018TAE_SONV,REA_BTS10:QE_D0867:ON_RSTS
L018TAE_VAL,REA_BTS10:QE_D0867:V_RD
L018TAHE,REA_BTS10:PSQ2_D0867:V_RD
L018TAHE_ATCE,REA_BTS10:PSQ2_D0867:ATDB_CSET
L018TAHE_ATPS,REA_BTS10:PSQ2_D0867:ATPS_RSTS
L018TAHE_CH2V,_REA_BTS10:PSQ2_D0867:I_RD
L018TAHE_ILKV,REA_BTS10:PSQ2_D0867:ILK_RSTS
L018TAHE_INC,REA_BTS10:PSQ2_D0867:V_CSET_INC
L018TAHE_OOV,REA_BTS10:PSQ2_D0867:ON_CMD
L018TAHE_POFF,REA_BTS10:PSQ2_D0867:POFF_CSET
L018TAHE_RSMS,REA_BTS10:PSQ2_D0867:RSMS_CSET
L018TAHE_RSSV,REA_BTS10:PSQ2_D0867:RSSV_CSET
L018TAHE_RSTV,REA_BTS10:PSQ2_D0867:RST_CMD
L018TAHE_RTZV,REA_BTS10:PSQ2_D0867:RTZ_CMD
L018TAHE_SETRB,REA_BTS10:PSQ2_D0867:V_RSET
L018TAHE_SETV,REA_BTS10:PSQ2_D0867:V_CSET
L018TAHE_SONV,_REA_BTS10:PSQ2_D0867:ON_RSTS
L018TAHE_STAS,REA_BTS10:PSQ2_D0867:STAS_RD
L018TAHE_VAL,REA_BTS10:PSQ2_D0867:V_RD
